experiment,condition,subject,block,p,nll,bic,model
1,new_learn,20,2,0.9999999935644104,61.49955257134605,136.81461570065636,nll_glc_1
1,new_learn,20,2,-54.28039435127472,61.49955257134605,136.81461570065636,nll_glc_1
1,new_learn,20,2,38.88906893064698,61.49955257134605,136.81461570065636,nll_glc_1
1,new_learn,20,2,52.10322916402349,71.25078030879371,156.3170711755517,nll_gcc_eq_0
1,new_learn,20,2,0.012170487146534015,71.25078030879371,156.3170711755517,nll_gcc_eq_0
1,new_learn,20,2,32.811548156923216,71.25078030879371,156.3170711755517,nll_gcc_eq_0
1,new_learn,20,2,54.723083144231964,98.28358533752878,210.38268123302183,nll_gcc_eq_1
1,new_learn,20,2,0.027071907193452205,98.28358533752878,210.38268123302183,nll_gcc_eq_1
1,new_learn,20,2,38.963279535423936,98.28358533752878,210.38268123302183,nll_gcc_eq_1
1,new_learn,20,2,29.863793988044346,39.09511217533764,92.00573490863955,nll_gcc_eq_2
1,new_learn,20,2,56.161654264804206,39.09511217533764,92.00573490863955,nll_gcc_eq_2
1,new_learn,20,2,16.20464080166138,39.09511217533764,92.00573490863955,nll_gcc_eq_2
1,new_learn,20,2,99.99695376161459,54.71751674278582,123.25054404353591,nll_gcc_eq_3
1,new_learn,20,2,42.80745163862749,54.71751674278582,123.25054404353591,nll_gcc_eq_3
1,new_learn,20,2,21.964678955112618,54.71751674278582,123.25054404353591,nll_gcc_eq_3
1,new_learn,26,6,0.8519028239291715,69.31471805599453,138.62943611198907,nll_rand_guess
1,new_learn,26,6,0.6099668046277034,66.87480891677198,138.35478801953207,nll_bias_guess
1,new_learn,26,6,63.14870469870417,89.17321505100696,187.5567704739901,nll_unix_0
1,new_learn,26,6,38.09039398385875,89.17321505100696,187.5567704739901,nll_unix_0
1,new_learn,26,6,39.95406465306158,70.41101588109633,150.03237213416884,nll_unix_1
1,new_learn,26,6,38.09204291020818,70.41101588109633,150.03237213416884,nll_unix_1
1,new_learn,26,6,60.106314990988274,55.753435122799594,120.71721061757538,nll_uniy_0
1,new_learn,26,6,36.60656732239518,55.753435122799594,120.71721061757538,nll_uniy_0
1,new_learn,26,6,37.84263151445646,102.79494781298092,214.80023599793802,nll_uniy_1
1,new_learn,26,6,38.09263807758025,102.79494781298092,214.80023599793802,nll_uniy_1
1,new_learn,26,6,-0.14094536476437758,55.53085561908145,124.87722179612717,nll_glc_0
1,new_learn,26,6,-52.308236696563824,55.53085561908145,124.87722179612717,nll_glc_0
1,new_learn,26,6,37.41562450526965,55.53085561908145,124.87722179612717,nll_glc_0
1,new_learn,26,6,0.9999999632666514,70.42809346869504,154.67169749535435,nll_glc_1
1,new_learn,26,6,-40.099674308890435,70.42809346869504,154.67169749535435,nll_glc_1
1,new_learn,26,6,38.05930581780217,70.42809346869504,154.67169749535435,nll_glc_1
1,new_learn,26,6,30.98257831881949,74.2481977580376,162.31190607403948,nll_gcc_eq_0
1,new_learn,26,6,0.005085725363336735,74.2481977580376,162.31190607403948,nll_gcc_eq_0
1,new_learn,26,6,38.01296883344788,74.2481977580376,162.31190607403948,nll_gcc_eq_0
1,new_learn,26,6,72.87666489753167,93.34922282013062,200.51395619822551,nll_gcc_eq_1
1,new_learn,26,6,0.009694548649314072,93.34922282013062,200.51395619822551,nll_gcc_eq_1
1,new_learn,26,6,38.09326127499939,93.34922282013062,200.51395619822551,nll_gcc_eq_1
1,new_learn,26,6,0.18452300276528888,55.11321722344148,124.04194500484724,nll_gcc_eq_2
1,new_learn,26,6,64.34288717681119,55.11321722344148,124.04194500484724,nll_gcc_eq_2
1,new_learn,26,6,31.018538837791098,55.11321722344148,124.04194500484724,nll_gcc_eq_2
1,new_learn,26,6,99.99963043332878,58.43547138027479,130.68645331851386,nll_gcc_eq_3
1,new_learn,26,6,63.1772949730874,58.43547138027479,130.68645331851386,nll_gcc_eq_3
1,new_learn,26,6,27.804711572231213,58.43547138027479,130.68645331851386,nll_gcc_eq_3
1,new_learn,30,0,0.44156848441583796,69.31471805599453,138.62943611198907,nll_rand_guess
1,new_learn,30,0,0.5100977684015114,69.29471863495489,143.19460745589788,nll_bias_guess
1,new_learn,30,0,50.58543745708066,112.91749440727313,235.04532918652242,nll_unix_0
1,new_learn,30,0,38.755166059789815,112.91749440727313,235.04532918652242,nll_unix_0
1,new_learn,30,0,49.698520695534114,48.43546997497977,106.08128032193572,nll_unix_1
